	NCIH1793_LUNG	MDAMB468_BREAST	SNU601_STOMACH	FTC133_THYROID	SKMEL30_SKIN	SUIT2_PANCREAS	PANC1_PANCREAS	NCIH1975_LUNG	FTC238_THYROID	OC314_OVARY
CRLF1	7.0	11.720000000000002	5.010000000000001	51.77	8.439999999999998	2.45	7.940000000000001	4.059999999999999	11.500000000000002	2.0700000000000003
OSBPL7	12.010000000000003	4.360000000000001	22.609999999999996	5.4799999999999995	3.670000000000001	6.540000000000003	2.04	7.600000000000003	11.67999999999999	3.6599999999999993
TMEM98	27.319999999999993	1.0	31.97000000000002	10.97	96.13000000000004	0.4599999999999999	0.9700000000000002	1.6700000000000004	0.5699999999999998	45.04999999999999
YBX2	0.74	18.44	12.679999999999998	0.3400000000000001	0.1200000000000001	0.1299999999999999	28.33	10.48	0.24	0.6499999999999999
KRT33A	0.0	0.1100000000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MAP3K14	15.509999999999994	5.429999999999999	4.340000000000001	11.099999999999998	5.360000000000001	12.419999999999987	54.72	8.85	24.53	14.25
ABCC8	2.13	0.0	0.1299999999999999	0.1400000000000001	0.1	0.07	0.04	0.02	0.01	0.09
CACNG3	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.02	0.01	0.0
TMEM132A	0.1200000000000001	75.93999999999998	23.910000000000004	23.57999999999999	11.269999999999998	17.74	63.72	30.04999999999999	20.63	30.46
AP2B1	110.84000000000005	48.19999999999999	69.07000000000001	109.37	79.59000000000005	163.58999999999995	250.31	108.09000000000002	120.96	114.3
TAC1	0.0	0.0	0.0	0.02	0.0	0.0	0.04	0.0	0.0	0.0
ZNF263	15.369999999999994	17.700000000000003	28.270000000000003	19.489999999999995	20.209999999999997	19.670000000000005	37.81	19.92	26.409999999999993	22.050000000000004
CX3CL1	0.01	31.130000000000003	1.02	1.31	0.27	0.1100000000000001	16.599999999999998	5.63	0.03	2.6500000000000004
