	PANC0203_PANCREAS	NIHOVCAR3_OVARY	RT112_URINARY_TRACT	NCIN87_STOMACH	PC14_LUNG	HCC1143_BREAST	639V_URINARY_TRACT	KMRC3_KIDNEY	ONCODG1_OVARY
DEDD	20.94	25.56	24.78	21.71	17.32	27.75999999999999	22.409999999999997	24.270000000000007	20.549999999999994
ZNF276	17.390000000000004	10.99	12.43	25.959999999999994	14.370000000000006	18.51	15.579999999999997	17.78	11.31
NPM2	1.13	4.64	0.2299999999999999	0.9300000000000002	0.4199999999999999	2.9799999999999995	3.74	0.24	0.95
EDA	0.01	0.69	0.1899999999999999	1.37	0.0	0.01	1.65	1.5300000000000002	2.04
FGF17	0.03	0.28	0.0	0.1699999999999999	0.02	0.4099999999999999	0.08	0.02	0.3599999999999999
VWA5B1	0.03	0.0	0.07	0.0	0.0	0.01	0.0	0.0	0.01
CDA	70.57000000000001	1.33	60.02	24.940000000000005	84.80000000000001	57.43999999999999	0.29	0.2099999999999999	1.0599999999999996
PINK1	17.589999999999993	7.519999999999998	46.830000000000005	7.550000000000003	39.57999999999999	34.25	13.950000000000005	12.599999999999998	7.999999999999998
B4GALT3	34.39000000000001	39.13000000000002	35.910000000000004	33.599999999999994	32.10000000000001	42.53	33.04	32.09	32.72999999999999
DMTN	5.27	25.980000000000004	4.33	27.07999999999999	8.430000000000001	1.7800000000000002	25.959999999999994	61.25999999999998	21.45
ADAMTS4	0.01	0.05	0.0	0.02	0.02	14.640000000000002	0.01	0.01	0.06
FAM160B2	15.260000000000003	39.65999999999999	22.22	18.590000000000003	20.570000000000007	25.17	19.769999999999996	66.54000000000002	29.390000000000004
NDUFS2	62.420000000000016	104.89	84.88000000000001	115.75000000000004	96.41000000000004	85.02000000000001	96.64999999999998	110.56000000000002	74.15999999999998
SLC5A11	0.02	0.03	0.02	0.08	1.4899999999999998	0.1699999999999999	0.07	0.05	0.06
FCER1G	0.24	0.0	0.06	0.29	0.5	0.28	0.1100000000000001	0.33	0.27
APOA2	0.0	0.1200000000000001	0.0	0.0	0.0	0.53	0.0	1.15	0.0
TOMM40L	5.339999999999999	10.199999999999996	10.8	7.0699999999999985	3.630000000000001	6.029999999999999	10.59	11.32	6.669999999999999
MPZ	1.2199999999999998	1.0599999999999996	0.33	0.05	0.1599999999999999	0.1599999999999999	0.08	1.4	2.4100000000000006
WFDC8	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0
CCAR2	37.29	160.59999999999997	83.06000000000002	62.45999999999999	75.77	47.13	93.84000000000002	137.93999999999997	112.51
WNT9B	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.03
CACHD1	1.2000000000000002	6.98	4.919999999999999	2.3300000000000005	1.54	12.409999999999997	4.64	1.88	5.830000000000001
CDC42SE2	15.260000000000003	14.26	34.690000000000005	23.74	15.369999999999994	23.629999999999995	12.83	35.35000000000001	14.74
RAPGEF6	4.969999999999999	4.41	3.950000000000003	7.040000000000001	3.3200000000000003	8.720000000000002	8.059999999999999	9.480000000000002	2.83
EPB41	8.81	18.44	19.35	9.23	12.69	9.67	19.769999999999996	4.77	16.99
MIS18A	19.489999999999995	40.95000000000001	56.249999999999986	31.239999999999995	15.36	76.91999999999999	44.68000000000001	10.839999999999998	33.449999999999996
ALG8	36.62	442.2600000000002	34.220000000000006	43.44000000000001	43.94000000000001	37.1	36.750000000000014	26.319999999999997	315.8500000000001
FBXW5	50.81000000000001	61.66000000000001	74.59	60.280000000000015	63.969999999999985	24.610000000000003	46.52	85.74999999999999	65.72000000000001
CFAP298	31.410000000000004	113.44000000000004	107.80000000000004	72.31	42.47999999999999	76.40000000000002	98.21	41.74000000000001	96.68999999999998
SYNJ1	2.92	3.709999999999999	5.29	3.5900000000000007	1.09	6.95	4.579999999999999	2.7	1.7200000000000002
PAXBP1	17.62	59.690000000000005	31.690000000000005	35.580000000000005	11.08	42.71000000000001	31.690000000000005	12.81	40.46999999999999
IFNAR2	4.210000000000002	15.550000000000004	42.07	12.64	5.63	8.78	20.229999999999997	18.409999999999993	14.140000000000002
MRPL10	44.58	36.16	27.270000000000007	46.819999999999986	35.33	30.23999999999999	35.09000000000001	36.6	29.96999999999999
IFNGR2	50.35999999999999	52.209999999999994	63.37000000000002	28.13000000000001	14.090000000000003	66.11000000000001	27.959999999999994	129.96000000000004	41.2
