gene_name	PANC0203_PANCREAS	NIHOVCAR3_OVARY	RT112_URINARY_TRACT	NCIN87_STOMACH	PC14_LUNG	HCC1143_BREAST	639V_URINARY_TRACT	KMRC3_KIDNEY	ONCODG1_OVARY
GALM	76.84	67.57	62.5	66.32	93.29	69.09	74.31	81.82	54.9
TMEM70	100.0		100.0	89.19	100.0	100.0	100.0	100.0	100.0
PEF1	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	97.74
ACSS2	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
USP3	17.65	7.46	5.13	4.05	5.33	10.1	5.26	3.57	7.69
CCT3	97.83	97.61	99.9	99.95	99.9	99.64	99.86	97.28	98.32
SH2B1	12.2		6.12	15.0	12.82		0.0	0.0	13.64
SDAD1	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
PRDM15	100.0	100.0	100.0	100.0	100.0	100.0	100.0		100.0
ZNF180	77.78	100.0	73.33	79.27	100.0	75.93	88.37	100.0	90.0
GCFC2	6.25	9.8	5.0	11.2	9.3	15.09	6.15	1.82	8.33
GPR108	0.0				0.0		0.0	0.0	0.0
DAB2IP	2.22	1.18	1.68	2.29	1.12	2.63	1.85	1.03	1.11
GCH1	0.0	0.0	0.0	1.43	0.0	0.0	3.16		3.39
C1orf112	100.0	100.0	100.0	100.0	100.0	100.0	100.0		100.0
WDR55	3.7	0.0	3.03	0.0	0.0	0.0	0.0	0.0	2.86
FBXO3	1.9	0.0	0.0	0.0	1.08	3.17	1.3	2.56	0.0
AC003002.4	96.06	100.0	98.02	93.63	100.0	100.0	94.2	97.87	94.12
ZNF547	96.06	100.0	98.02	93.63	100.0	100.0	94.2	97.87	94.12
SYNE2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BCL6	0.0	0.0	1.98	0.0	0.0	0.0	0.0	0.0	0.0
CCNK	2.25	1.37	2.99	2.25	0.0	2.78	1.18	0.0	1.23
RAD9A	8.33	5.26	5.26	3.61	0.0	6.25	4.44	1.79	2.38
MAPKAPK5	90.91	86.81	86.87	90.0	90.62	94.52	92.94	93.75	82.76
TDRD7	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
ANAPC2	91.89	100.0	100.0	96.89	100.0	90.22	100.0	100.0	96.09
IL17RA	5.26	0.0	7.14	4.05	0.0	4.35	2.6	1.35	0.0
WASL	0.0	0.0	1.11	0.0	0.0	0.0	0.0	1.69	2.47
PMPCB	1.52	1.96	0.0	3.82	1.37	0.0	1.12	0.0	1.56
PAM16	7.31	7.46	9.49	8.14	5.01	9.57	5.63	7.59	4.87
GMIP	9.52		0.0	2.63			0.0	0.0	7.14
HERC2P3	0.0	0.0	18.18	22.62	6.98	0.0	0.0	0.0	0.0
UBALD2	1.06	2.35	1.02	2.19	1.1	3.33	1.85	1.63	1.15
PDDC1	6.52	0.0	0.0	9.64	0.0	0.0	3.63	0.0	4.15
OXCT1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GPR108	3.66	0.0	4.97	1.69	0.0	2.97	2.59	1.75	3.1
R3HDM2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SH2B1	0.0	0.0	0.0	3.24	2.14	0.0	0.0	2.27	0.0
